 JDAY =    49.1378851548548     
QIN(JB):,.530000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
150,1,A,10,-.007183,-.092781,-.092817,.889099,.889160,-.006881,.192781,.192817,17.748730,17.743563,17.617057,17.617057,.036816,.036656,.192909,-.007219
151,1,A,10,-.006998,-.092926,-.093002,.785288,.785396,-.013821,.192926,.193002,18.946149,18.935832,17.616752,17.616752,.030529,.030193,.193243,-.007074
152,1,A,10,-.006516,-.093353,-.093484,.579451,.579656,-.035421,.193353,.193484,20.735575,20.717682,17.616740,17.616740,.022161,.021530,.193962,-.006647
153,1,A,10,-.005560,-.094238,-.094440,.248171,.248596,-.171239,.194238,.194440,18.062153,18.039731,17.617030,17.617030,.013496,.012257,.195382,-.005762
154,1,A,10,-.003676,-.096034,-.096324,-.093434,-.093006,.458308,.196034,.196324,14.674808,14.650421,17.617713,17.617713,.000141,-.001752,.197743,-.003966
155,1,A,10,-.000837,-.098814,-.099163,-.483367,-.482997,.076565,.198814,.199163,15.284671,15.259072,17.618805,17.618805,-.018627,-.020456,.200512,-.001186
156,1,A,10,.001862,-.101551,-.101862,-.861274,-.860987,.033317,.201551,.201862,14.775827,14.754850,17.620359,17.620359,-.037953,-.039476,.202998,.001551
157,1,A,10,.004134,-.103888,-.104134,-1.112498,-1.112303,.017494,.203888,.204134,13.779097,13.764087,17.622089,17.622089,-.054606,-.055888,.205110,.003888
158,1,A,10,.006085,-.105901,-.106085,-1.311363,-1.311276,.006685,.205901,.206085,15.208467,15.196789,17.624276,17.624276,-.061553,-.062344,.206673,.005901
159,1,A,10,.007261,-.107140,-.107261,-1.461139,-1.462655,-.103705,.207140,.207261,15.567097,15.559574,17.626868,17.626868,-.069817,-.070210,.207582,.007140
160,1,A,10,.007903,-.107843,-.107903,-1.536962,-1.536975,-.000846,.207843,.207903,14.179212,14.176786,17.629547,17.629547,-.078184,-.078110,.207990,.007843
161,1,A,10,.008077,-.108079,-.108077,-1.535318,-1.535407,-.005826,.208079,.208077,14.278380,14.279761,17.632050,17.632050,-.076285,-.075981,.207920,.008079
